,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nome,90,US,1595285401,93,64.5,-165.41,285.93,3.6
1,nanortalik,2,GL,1595285369,64,60.14,-45.24,282.59,0.6
2,vanimo,66,PG,1595285433,73,-2.67,141.3,301.03,3.21
3,harper,82,LR,1595285384,87,4.38,-7.72,297.94,4.5
4,ancud,89,CL,1595285363,81,-41.87,-73.82,282.15,1.5
5,bredasdorp,16,ZA,1595285313,87,-34.53,20.04,289.15,3.1
6,new norfolk,75,LR,1595285434,94,6.65,-10.59,298.15,2.1
7,saint-joseph,90,RE,1595285340,68,-21.37,55.62,292.15,5.1
8,severo-kurilsk,7,RU,1595285336,76,50.68,156.12,285.06,1.65
9,tiksi,100,RU,1595285434,90,71.69,128.87,280.87,4.73
10,norman wells,40,US,1595285393,41,35.22,-97.44,308.71,7.7
11,yushala,72,RU,1595285434,87,57.08,64.26,286.15,2.0
12,punta arenas,40,PH,1595285434,82,8.99,125.34,299.29,2.08
13,faanui,39,PF,1595285434,81,-16.48,-151.75,298.46,11.45
14,busselton,61,AU,1595285342,67,-33.65,115.33,283.15,6.72
15,mataura,76,NZ,1595285418,83,-46.19,168.86,277.04,1.34
16,ust-kut,0,RU,1595285435,69,56.79,105.77,284.64,0.44
17,arraial do cabo,0,BR,1595285435,35,-22.84,-46.65,296.15,1.5
18,dicabisagan,31,PH,1595285435,82,17.08,122.42,300.49,1.04
19,awbari,1,LY,1595285435,29,26.59,12.78,303.57,6.32
20,pochutla,75,MX,1595285426,62,15.74,-96.47,305.15,2.99
21,lincoln,75,US,1595285281,58,40.8,-96.67,301.15,3.1
22,valparaiso,75,CL,1595285185,93,-33.04,-71.63,287.15,3.1
23,hermanus,0,ZA,1595285419,83,-34.42,19.23,288.15,2.68
24,port alfred,83,CD,1595285367,53,-7.03,29.76,296.28,1.35
25,safaga,0,EG,1595285436,24,26.73,33.94,306.15,5.1
26,jamestown,1,US,1595285342,50,42.1,-79.24,298.71,6.2
27,pisco,20,PE,1595285368,82,-13.7,-76.22,290.15,3.1
28,kidal,32,ML,1595285436,35,18.44,1.41,304.47,7.89
